A,B,OUT
-123,87,-10285
-123,88,-11056
-123,89,-11056
-123,90,-11056
-123,91,-11056
-123,92,-11312
-123,93,-11312
-123,94,-11312
-123,95,-11312
-123,96,-12085
-123,97,-12085
-123,98,-12085
-123,99,-12085
-123,100,-12309
-123,101,-12309
-123,102,-12309
-123,103,-12309
-123,104,-13080
-123,105,-13080
-123,106,-13080
-123,107,-13080
-123,108,-13336
-123,109,-13336
-123,110,-13336
-123,111,-13336
-123,112,-14110
-123,113,-14110
-123,114,-14110
-123,115,-14110
-123,116,-14398
-123,117,-14398
-123,118,-14398
-123,119,-14398
-123,120,-15168
-123,121,-15168
-123,122,-15168
-123,123,-15168
-123,124,-15424
-123,125,-15424
-123,126,-15424
-123,127,-15424
-122,-128,15359
-122,-127,15359
-122,-126,15359
-122,-125,15359
-122,-124,15103
-122,-123,15103
-122,-122,15103
-122,-121,15103
-122,-120,14301
-122,-119,14301
-122,-118,14301
-122,-117,14301
-122,-116,14045
-122,-115,14045
-122,-114,14045
-122,-113,14045
-122,-112,13255
-122,-111,13255
-122,-110,13255
-122,-109,13255
-122,-108,12999
-122,-107,12999
-122,-106,12999
